room_id,property_id,room_number,room_type,floor,capacity,view_type,size_sqm,base_price_per_night,amenities,last_renovation
PROP001_R0001,PROP001,1,Standard,5,4,Sea View,41,302,Hairdryer|WiFi|Iron|AC|Breakfast Included|Desk,2023
PROP001_R0002,PROP001,2,Deluxe,5,1,Mountain View,78,219,Pool Access|Desk|Safe|Iron|Balcony,2021
PROP001_R0003,PROP001,3,Standard,2,4,Mountain View,74,293,Balcony|Bathrobe|Hairdryer|WiFi|Heating|Pool Access|Gym Access|Parking|Desk|AC|Spa|Iron,2016
PROP001_R0004,PROP001,4,Deluxe,4,3,Standard,70,184,Desk|Hairdryer|Gym Access|Mini Bar|Parking|WiFi,2022
PROP001_R0005,PROP001,5,Standard,5,3,Sea View,23,138,Bathrobe|AC|Balcony|Parking|Safe|Mini Bar,2020
PROP001_R0006,PROP001,6,Penthouse,5,2,Sea View,28,395,Heating|WiFi|Safe|Breakfast Included|Parking|AC|Bathrobe|Hairdryer,2021
PROP001_R0007,PROP001,7,Standard,3,4,Garden View,79,477,Desk|Heating|Gym Access|Hairdryer|Breakfast Included|Safe|Parking|AC|Iron|Mini Bar|Bathrobe|Balcony,2017
PROP001_R0008,PROP001,8,Deluxe,4,3,Mountain View,97,130,Balcony|Iron|Safe|Desk|TV|Breakfast Included|Gym Access|WiFi|Hairdryer|Pool Access|Bathrobe,2020
PROP001_R0009,PROP001,9,Standard,4,4,Garden View,21,439,Heating|Breakfast Included|Mini Bar|Desk|Gym Access|Iron|Spa|Pool Access|Hairdryer,2017
PROP001_R0010,PROP001,10,Standard,3,4,Standard,82,451,Spa|Desk|Balcony|Hairdryer|Parking|Mini Bar|Pool Access,2024
PROP001_R0011,PROP001,11,Suite,4,2,Sea View,81,319,Spa|Heating|Balcony|TV|AC|WiFi|Desk|Iron|Hairdryer|Pool Access,2021
PROP001_R0012,PROP001,12,Suite,5,3,Garden View,81,345,Bathrobe|Pool Access|Mini Bar|Spa|Balcony|Parking,2023
PROP001_R0013,PROP001,13,Suite,1,1,Sea View,72,329,Balcony|Bathrobe|Safe|Gym Access|AC|Parking,2021
PROP001_R0014,PROP001,14,Deluxe,2,4,Garden View,60,206,WiFi|Desk|Iron|Parking|Balcony|Heating|Hairdryer|AC|Bathrobe|Pool Access|Gym Access|Spa,2024
PROP001_R0015,PROP001,15,Suite,2,1,City View,90,58,Desk|Bathrobe|Heating|Balcony|Iron|WiFi|Mini Bar,2020
PROP001_R0016,PROP001,16,Suite,4,4,Mountain View,27,212,Breakfast Included|Iron|Gym Access|Bathrobe|Parking,2018
PROP001_R0017,PROP001,17,Suite,1,3,Standard,60,77,Heating|AC|Desk|Spa|Iron|Balcony|TV|Mini Bar,2022
PROP001_R0018,PROP001,18,Family,5,4,Garden View,53,82,Balcony|TV|Hairdryer|Mini Bar|Pool Access|Breakfast Included|Iron,2018
PROP001_R0019,PROP001,19,Standard,3,3,Standard,63,409,Desk|Spa|Balcony|Iron|AC|Breakfast Included|Safe|TV|Gym Access|WiFi|Parking,2023
PROP001_R0020,PROP001,20,Standard,2,3,City View,66,180,WiFi|AC|Desk|Safe|TV|Breakfast Included|Iron|Hairdryer,2020
