booking_id,guest_id,property_id,room_id,booking_date,check_in_date,check_out_date,number_of_nights,booking_channel,nightly_rate,total_price,status,payment_method,guests_count
BK00000001,GUEST004008,PROP006,PROP006_R0019,2022-08-28,2022-09-18,2022-09-20,2,Corporate,313.01,626.02,Completed,PayPal,3
BK00000003,GUEST001795,PROP007,PROP007_R0001,2023-12-21,2024-02-07,2024-02-11,4,Expedia,275.45,1101.82,Completed,Credit Card,4
BK00000004,GUEST001850,PROP002,PROP002_R0007,2024-07-18,2024-07-28,2024-07-31,3,Expedia,335.82,1007.45,Completed,PayPal,2
BK00000005,GUEST004133,PROP001,PROP001_R0006,2022-08-09,2022-09-10,2022-09-14,4,Travel Agency,429.86,1719.42,Completed,PayPal,2
BK00000006,GUEST002512,PROP002,PROP002_R0004,2023-05-11,2023-06-29,2023-06-30,1,Expedia,191.75,191.75,Completed,PayPal,4
BK00000007,GUEST001715,PROP005,PROP005_R0030,2022-07-17,2022-09-08,2022-09-10,2,Travel Agency,594.5,1189.0,Completed,PayPal,2
BK00000008,GUEST000133,PROP001,PROP001_R0018,2022-03-05,2022-03-24,2022-03-25,1,Booking.com,65.63,65.63,Completed,Cash,1
BK00000009,GUEST001522,PROP004,PROP004_R0025,2022-05-27,2022-06-01,2022-06-02,1,Expedia,553.8,553.8,Completed,PayPal,3
BK00000010,GUEST000975,PROP008,PROP008_R0029,2024-05-14,2024-06-06,2024-06-09,3,Booking.com,189.68,569.05,Completed,Credit Card,4
BK00000011,GUEST004896,PROP001,PROP001_R0006,2023-09-07,2023-09-29,2023-10-06,7,Booking.com,442.68,3098.79,Completed,Cash,4
BK00000012,GUEST001708,PROP006,PROP006_R0019,2023-09-15,2023-10-13,2023-10-17,4,Direct Website,313.23,1252.94,Completed,Bank Transfer,4
BK00000013,GUEST004861,PROP010,PROP010_R0018,2022-03-27,2022-05-10,2022-05-11,1,Travel Agency,135.74,135.74,Completed,Credit Card,4
BK00000014,GUEST004096,PROP001,PROP001_R0024,2023-10-17,2023-11-09,2023-11-13,4,Direct Website,178.62,714.48,Completed,Cash,1
BK00000015,GUEST003880,PROP005,PROP005_R0002,2024-02-25,2024-04-14,2024-04-24,10,Corporate,417.59,4175.91,Completed,Bank Transfer,1
BK00000016,GUEST004810,PROP007,PROP007_R0021,2023-12-20,2024-02-02,2024-02-04,2,Direct Website,330.56,661.12,Cancelled,PayPal,4
BK00000017,GUEST003113,PROP001,PROP001_R0019,2022-03-21,2022-04-22,2022-04-23,1,Hotel.com,446.99,446.99,Completed,Bank Transfer,1
BK00000018,GUEST002066,PROP008,PROP008_R0022,2022-07-08,2022-07-14,2022-07-18,4,Booking.com,561.93,2247.72,Completed,Bank Transfer,2
BK00000019,GUEST003725,PROP002,PROP002_R0014,2024-02-17,2024-04-05,2024-04-08,3,Hotel.com,580.03,1740.09,Completed,Credit Card,3
BK00000020,GUEST004945,PROP004,PROP004_R0019,2024-08-19,2024-08-22,2024-08-29,7,Booking.com,208.65,1460.57,Completed,Credit Card,3
BK00000021,GUEST004528,PROP005,PROP005_R0005,2024-07-13,2024-07-27,2024-07-31,4,Airbnb,396.19,1584.75,Completed,Bank Transfer,4
BK00000022,GUEST000085,PROP002,PROP002_R0030,2022-09-20,2022-10-28,2022-10-30,2,Expedia,107.27,214.54,Completed,PayPal,1
BK00000023,GUEST003641,PROP009,PROP009_R0001,2022-05-22,2022-06-24,2022-06-29,5,Travel Agency,312.71,1563.56,Completed,PayPal,2
BK00000024,GUEST002251,PROP008,PROP008_R0026,2024-03-05,2024-04-26,2024-04-28,2,Airbnb,273.04,546.07,Completed,Cash,1
BK00000025,GUEST004798,PROP005,PROP005_R0017,2022-08-29,2022-10-13,2022-10-14,1,Hotel.com,303.47,303.47,Completed,Cash,4
BK00000026,GUEST003701,PROP003,PROP003_R0014,2023-08-24,2023-10-18,2023-10-21,3,Booking.com,188.09,564.27,Completed,PayPal,2
BK00000027,GUEST002379,PROP001,PROP001_R0025,2023-11-10,2023-12-08,2023-12-13,5,Hotel.com,138.2,690.99,Completed,Bank Transfer,1
BK00000028,GUEST000630,PROP003,PROP003_R0014,2023-02-12,2023-03-15,2023-03-19,4,Airbnb,136.88,547.51,Completed,Cash,4
BK00000029,GUEST000047,PROP004,PROP004_R0024,2024-03-04,2024-04-23,2024-04-30,7,Expedia,58.57,409.96,Completed,PayPal,2
BK00000030,GUEST000360,PROP007,PROP007_R0023,2023-09-12,2023-09-24,2023-10-08,14,Airbnb,71.16,996.25,Completed,Cash,2
BK00000031,GUEST004781,PROP006,PROP006_R0027,2024-10-07,2024-10-22,2024-10-29,7,Corporate,292.34,2046.37,Completed,PayPal,4
BK00000032,GUEST000832,PROP002,PROP002_R0008,2022-12-03,2022-12-12,2022-12-15,3,Expedia,212.05,636.16,Completed,Credit Card,2
BK00000033,GUEST004611,PROP010,PROP010_R0024,2022-02-18,2022-03-19,2022-03-24,5,Corporate,304.35,1521.73,Completed,Bank Transfer,4
BK00000034,GUEST003523,PROP006,PROP006_R0024,2022-02-12,2022-03-30,2022-03-31,1,Corporate,145.07,145.07,Completed,Bank Transfer,3
BK00000035,GUEST000872,PROP009,PROP009_R0017,2024-05-07,2024-06-07,2024-06-10,3,Expedia,628.39,1885.17,Completed,Cash,1
BK00000036,GUEST003575,PROP005,PROP005_R0001,2024-05-14,2024-05-19,2024-05-20,1,Booking.com,391.18,391.18,Completed,Bank Transfer,1
BK00000037,GUEST002153,PROP002,PROP002_R0002,2024-01-03,2024-02-03,2024-02-06,3,Direct Website,148.37,445.1,Completed,PayPal,4
BK00000038,GUEST001993,PROP009,PROP009_R0003,2022-10-09,2022-10-17,2022-10-22,5,Travel Agency,170.8,853.99,Completed,Cash,1
BK00000039,GUEST000708,PROP003,PROP003_R0005,2023-01-18,2023-03-02,2023-03-03,1,Airbnb,390.06,390.06,Completed,Cash,2
BK00000040,GUEST004473,PROP008,PROP008_R0024,2024-02-04,2024-03-11,2024-03-15,4,Airbnb,368.98,1475.92,Completed,Credit Card,3
BK00000041,GUEST000548,PROP008,PROP008_R0006,2023-01-15,2023-02-22,2023-02-24,2,Booking.com,337.95,675.89,Completed,Credit Card,4
